restaurant,items,price,date
Goli Vada Pav No.1 (Kundanahalli),Chatpata Cheese Vada Pav,63.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Paneer Roll,92.0,2019-04-17
McDonald's (HSR Layout),Chicken Kebab Burger McSaver,159.0,2019-04-17
McDonald's (HSR Layout),Green Chilli Kebab Naan,146.0,2019-04-17
Parotta Kadai,Veg. Kothu Parotta,70.0,2019-04-17
Parotta Kadai,Veg. Chilli Kothu Parotta,80.0,2019-04-17
Godavari Delights,Special Chicken Biryani,288.0,2019-04-17
Godavari Delights,Mutton Biryani,344.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Hyderabadi Chicken Roll with Shawarma Roll,150.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Butter Chicken With Kerala Parota,150.0,2019-04-17
India Garden,Cheese Corn Nuggets,100.0,2019-04-17
India Garden,Pepper Sausage,110.0,2019-04-17
Sitara Veg.,Aloo Palak,110.0,2019-04-17
Sitara Veg.,Capsicum Masala,140.0,2019-04-17
Burger King (Electronic City),Mutton Masala Whopper®,279.0,2019-04-17
Burger King (Electronic City),Chicken Masala Whopper®,209.0,2019-04-17
McDonald's (BTM Layout),American Cheese Supreme - Chicken McSaver,208.0,2019-04-17
McDonald's (BTM Layout),Salad Wrap McSaver,192.0,2019-04-17
Lassi Corner,Aloo Tikki Cutlet,79.0,2019-04-17
Lassi Corner,Veg. Fala Nuggets,79.0,2019-04-17
High And Hungry,Prawns Pakoda,229.0,2019-04-17
High And Hungry,Tawa Mutton,219.0,2019-04-17
Taco Bell (Ascendas),Mexican Paneer Tikka Masala Burrito,129.0,2019-04-17
Taco Bell (Ascendas),Chicken Burrito,199.0,2019-04-17
Chakh Le India (Brookefields Lake),Ghee Roti,15.0,2019-04-17
Chakh Le India (Brookefields Lake),Roti,9.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Crunchy Roll,67.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Makai Palak Roll,77.0,2019-04-17
McDonald's (HSR Layout),Mexican Aloo Wrap McSaver,139.0,2019-04-17
McDonald's (HSR Layout),Green Chilli Aloo Naan,132.0,2019-04-17
Parotta Kadai,Virudhunagar Porucha Plain Parotta,60.0,2019-04-17
Parotta Kadai,Egg Parotta,60.0,2019-04-17
Biryani Kitchen,Paneer Biryani,235.0,2019-04-17
Godavari Delights,Vegetable Biryani,244.0,2019-04-17
Godavari Delights,Chicken Dum Biryani,266.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Chicken Dum Biryani Combo,99.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Kolhapuri Chicken with Tandoori Naan,99.0,2019-04-17
India Garden,Seekh Kebab,110.0,2019-04-17
India Garden,Chicken Sausage,100.0,2019-04-17
Sitara Veg.,Dal Fry,120.0,2019-04-17
Sitara Veg.,Dal Palak,130.0,2019-04-17
Burger King (Electronic City),Veg Masala Whopper® Combo,298.0,2019-04-17
Burger King (Electronic City),Chicken Masala Whopper® Combo,308.0,2019-04-17
McDonald's (BTM Layout),McChicken McSaver,193.0,2019-04-17
McDonald's (BTM Layout),American Cheese Supreme Veg,193.0,2019-04-17
Lassi Corner,Cheese & Jalapeno Poppers,79.0,2019-04-17
Lassi Corner,Veggie Pizza Pockets,89.0,2019-04-17
High And Hungry,Tawa Fish Fry,189.0,2019-04-17
High And Hungry,Kurkure,50.0,2019-04-17
Taco Bell (Ascendas),Chicken 7 Layer Burrito,249.0,2019-04-17
Taco Bell (Ascendas),Fajita Chicken Tikka Masala Burrito,139.0,2019-04-17
Chakh Le India (Brookefields Lake),Chicken Egg Rolls,65.0,2019-04-17
Chakh Le India (Brookefields Lake),Chicken Rolls,55.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Paneer Cheese  Roll,95.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Makai Palak & Cheese  Roll,80.0,2019-04-17
McDonald's (HSR Layout),Mexican McAloo Tikki McSaver,133.0,2019-04-17
McDonald's (HSR Layout),McAloo Tikki McSaver,118.0,2019-04-17
Parotta Kadai,Egg Kothu Parotta,90.0,2019-04-17
Parotta Kadai,Egg Chinese Parotta,100.0,2019-04-17
Biryani Kitchen,Hyderabadi Veg. Dum Biryani,185.0,2019-04-17
Biryani Kitchen,Egg Biryani,185.0,2019-04-17
Godavari Delights,Paneer Biryani,255.0,2019-04-17
Godavari Delights,Egg Bhurji,50.0,2019-04-17
Moriz Restaurant,Mixed Vegetable Raita,50.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Rumali Roti,19.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Tandoori Roti,22.0,2019-04-17
Punjabi Tadka Restaurant (HSR Layout),Dal Tadka,120.0,2019-04-17
India Garden,Chicken Garlic Finger,90.0,2019-04-17
India Garden,Chicken Nuggets,90.0,2019-04-17
Sitara Veg.,Dal Tadka,125.0,2019-04-17
Sitara Veg.,Green Peas Masala,120.0,2019-04-17
Burger King (Electronic City),Mutton Masala Whopper® Combo,378.0,2019-04-17
Burger King (Electronic City),Veg Chilli Cheese Melt - Combo,208.0,2019-04-17
McDonald's (BTM Layout),McVeggie McSaver,180.0,2019-04-17
McDonald's (BTM Layout),Chicken Kebab Wrap McSaver,149.0,2019-04-17
Lassi Corner,Chicken Popcorn,79.0,2019-04-17
Lassi Corner,Chicken Nuggets,79.0,2019-04-17
High And Hungry,Lays,50.0,2019-04-17
High And Hungry,Aloo Bhujia,50.0,2019-04-17
Taco Bell (Ascendas),Veg. Cheesy Chalupa,139.0,2019-04-17
Taco Bell (Ascendas),Chicken Cheesy Chalupa,149.0,2019-04-17
Chakh Le India (Brookefields Lake),Double Egg Rolls,45.0,2019-04-17
Chakh Le India (Brookefields Lake),Mushroom Egg Rolls,75.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Crunchy Cheese Roll,70.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Chataka Fries,55.0,2019-04-17
McDonald's (HSR Layout),Big Spicy Chicken Wrap,325.0,2019-04-17
McDonald's (HSR Layout),,325.0,2019-04-17
Parotta Kadai,Egg Veechu Parotta,55.0,2019-04-17
Parotta Kadai,Special Egg Lappa Parotta,75.0,2019-04-17
Biryani Kitchen,Boneless Chicken Biryani,255.0,2019-04-17
Biryani Kitchen,Hyderabadi Chicken Dum Biryani,235.0,2019-04-17
Godavari Delights,Egg Masala,110.0,2019-04-17
Godavari Delights,Egg Chili,150.0,2019-04-17
Moriz Restaurant,Cucumber Salad,60.0,2019-04-17
Thalassery Restaurant (Neeladri Nagar),Grilled Chicken,180.0,2019-04-17
The Elaichi,Veg. Luchi Meal,79.0,2019-04-17
Coastal Hub,Vegetable Hot & Sour Soup,95.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Butter Naan,28.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Shawarma Roll,90.0,2019-04-17
Punjabi Tadka Restaurant (HSR Layout),Paneer Butter Masala,140.0,2019-04-17
Punjabi Tadka Restaurant (HSR Layout),Boneless Butter Chicken,170.0,2019-04-17
India Garden,Prawns Nuggets,110.0,2019-04-17
India Garden,Fish Finger,110.0,2019-04-17
Sitara Veg.,Hyderabadi Vegetable,135.0,2019-04-17
Sitara Veg.,Kadhai Mushroom,145.0,2019-04-17
Burger King (Electronic City),Paneer King Melt - Combo,228.0,2019-04-17
Burger King (Electronic City),Chicken Chilli Cheese Melt Combo,218.0,2019-04-17
McDonald's (BTM Layout),Chicken Kebab Burger McSaver,159.0,2019-04-17
McDonald's (BTM Layout),Green Chilli Kebab Naan,146.0,2019-04-17
Lassi Corner,Italian Chicken,98.0,2019-04-17
Lassi Corner,Chicken Fingers,95.0,2019-04-17
High And Hungry,Roasted Groundnut,50.0,2019-04-17
High And Hungry,All in One Mixture,50.0,2019-04-17
Taco Bell (Ascendas),Veg. Quesadilla,139.0,2019-04-17
Taco Bell (Ascendas),Chicken Quesadilla,159.0,2019-04-17
Chakh Le India (Brookefields Lake),Mushroom Rolls,65.0,2019-04-17
Chakh Le India (Brookefields Lake),Paneer Egg Rolls,65.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Cheese Corn Pops,50.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Malai Kulfi,60.0,2019-04-17
McDonald's (HSR Layout),Big Spicy Paneer Wrap,316.0,2019-04-17
McDonald's (HSR Layout),,316.0,2019-04-17
Parotta Kadai,Chicken Kothu Parotta,100.0,2019-04-17
Parotta Kadai,Chicken Parotta,95.0,2019-04-17
Biryani Kitchen,Hyderabadi Mutton Dum Biryani,270.0,2019-04-17
Biryani Kitchen,Prawns Biryani,280.0,2019-04-17
Godavari Delights,Egg Curry,100.0,2019-04-17
Godavari Delights,Egg Fry Biryani,190.0,2019-04-17
Kittu's,Dal Tadka,150.0,2019-04-17
Moriz Restaurant,Green Salad,60.0,2019-04-17
Moriz Restaurant,Pineapple Raita,60.0,2019-04-17
Thalassery Restaurant (Neeladri Nagar),Puttu,50.0,2019-04-17
The Elaichi,Veg. Chhole Bhature Meal,99.0,2019-04-17
The Elaichi,Veg. Rice Meal,99.0,2019-04-17
Coastal Hub,Vegetable Clear Soup,95.0,2019-04-17
Coastal Hub,Mushroom Cream Soup,125.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Grilled Chicken,180.0,2019-04-17
MMA Kababs & Rolls (ITPL Main Road),Butter Chicken,165.0,2019-04-17
Punjabi Tadka Restaurant (HSR Layout),Veg. Thali,100.0,2019-04-17
Punjabi Tadka Restaurant (HSR Layout),Kadhai Paneer,140.0,2019-04-17
India Garden,Crab Claws,140.0,2019-04-17
India Garden,French Fries,90.0,2019-04-17
Sitara Veg.,Kadhai Paneer,150.0,2019-04-17
Sitara Veg.,Kadhai Vegetable,130.0,2019-04-17
Burger King (Electronic City),Chicken Tandoor Grill - Combo,248.0,2019-04-17
Burger King (Electronic City),Veg Whopper® - Combo,238.0,2019-04-17
McDonald's (BTM Layout),Mexican Aloo Wrap McSaver,139.0,2019-04-17
McDonald's (BTM Layout),Green Chilli Aloo Naan,132.0,2019-04-17
Lassi Corner,Chicken Seekh Kabab,109.0,2019-04-17
Lassi Corner,Chicken Fries,119.0,2019-04-17
High And Hungry,Italian Vegetable Pasta,189.0,2019-04-17
High And Hungry,Vegetable Red Sauce Pasta,199.0,2019-04-17
Taco Bell (Ascendas),Vegstar Wrap,149.0,2019-04-17
Taco Bell (Ascendas),Chickstar Wrap,169.0,2019-04-17
Chakh Le India (Brookefields Lake),Paneer Rolls,55.0,2019-04-17
Chakh Le India (Brookefields Lake),Paneer Veg Rolls,65.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Kesar Kulfi,60.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Badam Kulfi,60.0,2019-04-17
McDonald's (HSR Layout),McSpicy Chicken with Whole Wheat Bun,160.0,2019-04-17
McDonald's (HSR Layout),McSpicy Paneer with Whole Wheat Bun,155.0,2019-04-17
Parotta Kadai,Chicken Chinese Parotta,110.0,2019-04-17
Parotta Kadai,Special Non-Veg. Virudhunagar Porucha Parotta,105.0,2019-04-17
Godavari Delights,Egg Biryani,180.0,2019-04-17
Godavari Delights,Chili Egg Biryani,190.0,2019-04-17
Kittu's,Tawa Roti,15.0,2019-04-17
Kittu's,Plain Tandoori Roti,20.0,2019-04-17
Moriz Restaurant,Plain Curd,40.0,2019-04-17
Thalassery Restaurant (Neeladri Nagar),Kerala Parotta,15.0,2019-04-17
Thalassery Restaurant (Neeladri Nagar),Kadala Curry,60.0,2019-04-17
The Elaichi,Veg. Noodles Meal,99.0,2019-04-17
