restaurant,items,price,date
Behrouz Biryani (Sohna Road),Shahi Subz Dastarkhwan (Veg),361.0,2019-04-17
Burger King (Sohna Road),Mutton Whopper® - Combo,318.0,2019-04-17
Burger King (Sohna Road),Veg Masala Whopper®,199.0,2019-04-17
Pizza Hut (Super Mart-1),Veggie,279.0,2019-04-17
Pizza Hut (Super Mart-1),Spicy Chicken,359.0,2019-04-17
Pind Balluchi (Sohna Road),Veg. Manchurian,315.0,2019-04-17
Pind Balluchi (Sohna Road),Chilli Paneer,320.0,2019-04-17
Speedy Chow (DLF City Phase 4),Schezwan Style Sauce - Chicken [Full],575.0,2019-04-17
Speedy Chow (DLF City Phase 4),Mr Chow's Garlic Sauce- Veg [Full],495.0,2019-04-17
Pizza Hut (Baani Square),Veggie,279.0,2019-04-17
Pizza Hut (Baani Square),Spicy Chicken,359.0,2019-04-17
Chinese Corner,Golden Fried Baby Corn,230.0,2019-04-17
Chinese Corner,Corn Salt & Pepper,235.0,2019-04-17
Nukkadwala (Sector 25),Shahi Tukda,75.0,2019-04-17
Nukkadwala (Sector 25),Matthi,20.0,2019-04-17
Pizza Hut (DT Mega Mall),Garlic Bread Spicy Supreme,139.0,2019-04-17
Pizza Hut (DT Mega Mall),Garlic Bread Stix,99.0,2019-04-17
Moti Mahal Delux,Veg Talumien Soup,120.0,2019-04-17
Moti Mahal Delux,Veg Hot And Sour Soup,120.0,2019-04-17
Behrouz Biryani (DLF Phase 2),Paneer Subz Biryani (Regular),333.0,2019-04-17
Behrouz Biryani (DLF Phase 2),Shahi Subz Dastarkhwan (Veg),361.0,2019-04-17
Burger King  (MG Road),Chicken Tandoor Grill - Combo,248.0,2019-04-17
Burger King  (MG Road),Veg Whopper® - Combo,238.0,2019-04-17
Subway (Sector 46),Chatpata Chana Footlong,285.0,2019-04-17
Subway (Sector 46),Veg. Seekh Footlong,285.0,2019-04-17
KFC (DT Mega Mall),Big 8,0.0,2019-04-17
KFC (DT Mega Mall),Big 8 Meal,0.0,2019-04-17
Dana Choga's Kitchen (Qutub Plaza),Mixed Vegetable Mini Meal,125.0,2019-04-17
Dana Choga's Kitchen (Qutub Plaza),Pav Bhaji,115.0,2019-04-17
Behrouz Biryani (Sushant Lok),Subz-e-Biryani (Regular),261.0,2019-04-17
Behrouz Biryani (Sushant Lok),Murgh Makhani Biryani (Regular),352.0,2019-04-17
KFC - DT City Centre,Mingles Bucket*,284.0,2019-04-17
KFC - DT City Centre,4 Pc Smoky Grilled,361.0,2019-04-17
Biryani Blues (MG Road),Biryani Rice,195.0,2019-04-17
Biryani Blues (MG Road),Chicken Boneless Biryani,399.0,2019-04-17
Behrouz Biryani (Sohna Road),Shahi Murg Dastarkhwan (Non-Veg),428.0,2019-04-17
