price,area,psf,kind,address,society,bhk,config,avail,date
10300000,1100,9364,"Super built-up  Area
                    ",in Waghbil,,2 BHK ,"2 Baths, 1 Balcony",Possession in Aug  2019,2019-05-12
2000000,300.85,None,"Carpet  Area
                    ",in Valivali Gaon,Khatri NX,1 BHK ,1 Bath,New Launch,2019-05-12
19000000,1070,17757,"Plot  Area
                    ",in Gorai 2,,,,Immediate Possession,2019-05-12
18400000,1165,15794,"Super built-up  Area
                    ",in Mulund (West),Runwal Greens,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
11100000,1150,9652,"Super built-up  Area
                    ",in Thane West,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
18600000,795.13,23400,"Carpet  Area
                    ",in Andheri (East),Lodha Eternis,2 BHK ,2 Baths,Ready To Move,2019-05-12
7668000,1065,7200,"Super built-up  Area
                    ",in Sector 17 Ulwe,Avicon Levante,2 BHK ,2 Baths,Possession in Mar  2020,2019-05-12
30000000,1650,18182,"Super built-up  Area
                    ",in Chembur (East),Emgee Vikas Apartments,3 BHK ,3 Baths,Ready To Move,2019-05-12
16900000,1001,16884,"Super built-up  Area
                    ",in Manpada,Neelkanth D3 Zinnia,3 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
21800000,1899,11480,"Super built-up  Area
                    ",in Thane West,Shapoorji Northern Lights,3 BHK ,3 Baths,Possession in Jun  2023,2019-05-12
14300000,1250,11440,"Super built-up  Area
                    ",in Sangharsh Nagar,GHP Woodland Heights,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
10900000,538,20200,"Carpet  Area
                    ",in Thane West,Kalpataru Launch Code Expansia,2 BHK ,2 Baths,Possession in Dec  2026,2019-05-12
