restaurant,items,price,date
Domino's Pizza,2 Pizzas at 249 each Select any 2 Medium Pizzas Worth 385 @ 249 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 299 each Select any 2 Medium Pizzas Worth 450 @ 299 each,0.0,2019-04-17
Flavours of China ( Evershine Nagar),Veg. Sweet Corn Soup,110.0,2019-04-17
Flavours of China ( Evershine Nagar),Veg. Wonton Soup,116.0,2019-04-17
Bhagwati Veg Restaurant,Hakka Noodles,155.0,2019-04-17
The Bohri Fusion,Chicken Seekh Roll,209.0,2019-04-17
The Bohri Fusion,Chicken Tikka Roll,209.0,2019-04-17
Subway (Powai),Veg Shammi Kebab,200.0,2019-04-17
Subway (Powai),Veggie Patty,200.0,2019-04-17
Vinisha Food Corner,Crispy Paneer,220.0,2019-04-17
Vinisha Food Corner,Paneer Manchurian,190.0,2019-04-17
Mandarin Panda,Spicy Seafood Soup,209.0,2019-04-17
Mandarin Panda,Double Meat Soup,209.0,2019-04-17
New Lom Chings,Chicken Manchow Soup,130.0,2019-04-17
New Lom Chings,Chicken Sweet corn Soup,130.0,2019-04-17
Behrouz Biryani (Powai),Murgh queema kefta biryani (Regular),285.0,2019-04-17
Behrouz Biryani (Powai),Queema Gosht Biryani (Regular),380.0,2019-04-17
Thali & Combos By Treat,Kanda Poha,65.0,2019-04-17
Thali & Combos By Treat,Steamed Idli,40.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Green Chilli Aloo Naan,132.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Mexican McAloo Tikki McSaver,133.0,2019-04-17
McDonald's (Fun Republic),Veg Maharaja Mac,316.0,2019-04-17
McDonald's (Fun Republic),Big Spicy Paneer Wrap,316.0,2019-04-17
The Spot,Chicken Barbecue Cheese Burger,90.0,2019-04-17
The Spot,Chicken Malai Burger,80.0,2019-04-17
The Light Kitchen,Chicken and Egg Roll,205.0,2019-04-17
The Light Kitchen,Grilled Chicken Avocado roll,320.0,2019-04-17
Masala Wok,Cream of Tomato Soup,130.0,2019-04-17
Kosho,Dal Shorba,110.0,2019-04-17
Domino's Pizza,2 Pizzas at 399 each Select any 2 Medium Pizzas Worth 555 @ 399 each,0.0,2019-04-17
Domino's Pizza,2 Pizzas at 99 each Select any 2 Regular Pizzas Worth 165 @ 99 each,0.0,2019-04-17
